"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 02:25:51 UTC 2023","Tue Dec 26 02:26:16 UTC 2023","25304","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Tue Dec 26 04:43:53 UTC 2023","Tue Dec 26 04:43:55 UTC 2023","2647","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Dec 26 03:30:32 UTC 2023","Tue Dec 26 03:31:16 UTC 2023","43858","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Dec 26 02:35:38 UTC 2023","Tue Dec 26 02:35:57 UTC 2023","19347","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Dec 26 02:25:15 UTC 2023","Tue Dec 26 02:25:24 UTC 2023","8986","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Tue Dec 26 02:46:28 UTC 2023","Tue Dec 26 02:46:28 UTC 2023","368","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Dec 26 02:39:31 UTC 2023","Tue Dec 26 02:39:37 UTC 2023","6775","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Tue Dec 26 02:42:14 UTC 2023","Tue Dec 26 02:42:16 UTC 2023","1570","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Dec 26 04:44:29 UTC 2023","Tue Dec 26 04:44:30 UTC 2023","1336","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Dec 26 03:33:07 UTC 2023","Tue Dec 26 03:33:10 UTC 2023","2732","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Tue Dec 26 02:48:21 UTC 2023","Tue Dec 26 02:48:30 UTC 2023","8426","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Dec 26 03:46:10 UTC 2023","Tue Dec 26 03:46:17 UTC 2023","6418","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Tue Dec 26 02:37:31 UTC 2023","Tue Dec 26 02:37:32 UTC 2023","457","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Dec 26 02:48:35 UTC 2023","Tue Dec 26 02:48:45 UTC 2023","9956","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Dec 26 02:31:33 UTC 2023","Tue Dec 26 02:31:51 UTC 2023","18146","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Dec 26 04:44:06 UTC 2023","Tue Dec 26 04:44:29 UTC 2023","23092","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Dec 26 02:41:18 UTC 2023","Tue Dec 26 02:41:20 UTC 2023","2290","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Dec 26 03:48:09 UTC 2023","Tue Dec 26 03:48:29 UTC 2023","20548","","21. Forgot password function","","","","2. Reset password",""
